County,Farmer,Household size,Crop,Acreage,Fertilizer amount,Laborers,Yield,Power source,Water source,Crop insurance,Latitude,Longitude,Education_Degree,Education_Diploma,Education_Primary,Education_Secondary,Gender_Male,Age bracket_36-45,Age bracket_46-55,Age bracket_56-65,Age bracket_above 65,Main credit source_Family,Main credit source_Savings,Farm records_Yes,Main advisory source_Internet,Main advisory source_Public gatherings,Main advisory source_Radio,Main advisory source_Television,Extension provider_KALRO,Extension provider_National Government,Extension provider_Private Provider,Advisory format_SMS text,Advisory language_Kiswahili,Advisory language_Vernacular,Fertilizer_Category
TAITA TAVETA,fmr_396,0.5,corn,0.0,0.010416666666666671,0.16666666666666669,0.0,Manual,Rain,No,0.43589743589743435,0.6111111111110858,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Low
TAITA TAVETA,fmr_90,0.875,corn,0.2,0.0625,0.16666666666666669,0.9999999999999999,Manual,Rain,No,0.3589743589743577,0.3333333333333286,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,Medium
TAITA TAVETA,fmr_131,0.125,corn,0.06666666666666667,0.041666666666666664,0.16666666666666669,0.9272727272727271,Manual,Rain,No,0.3589743589743577,0.6111111111110858,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,Low
TAITA TAVETA,fmr_375,0.5,corn,0.4,0.0625,0.0,0.9090909090909091,Manual,Rain,No,0.2820512820512828,0.6111111111110858,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Medium
TAITA TAVETA,fmr_10,0.5,corn,0.06666666666666667,0.041666666666666664,0.0,0.8909090909090909,Manual,Rain,No,0.43589743589743435,0.22222222222221433,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Low
TAITA TAVETA,fmr_56,0.375,corn,0.4,0.0625,0.16666666666666669,0.8909090909090909,Manual,Rain,No,0.5641025641025639,0.3333333333333286,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Medium
TAITA TAVETA,fmr_127,0.0,corn,0.4,0.16666666666666669,0.0,0.8909090909090909,Manual,Rain,No,0.3589743589743577,0.2499999999999858,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,High
TAITA TAVETA,fmr_181,0.5,corn,0.06666666666666667,0.0,0.16666666666666669,0.8909090909090909,Manual,Rain,No,0.7692307692307683,0.3333333333333286,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Low
TAITA TAVETA,fmr_213,0.375,corn,0.06666666666666667,0.010416666666666671,0.16666666666666669,0.8909090909090909,Manual,Rain,No,0.3589743589743577,0.6111111111110858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Low
TAITA TAVETA,fmr_263,0.375,corn,0.2,0.0625,0.16666666666666669,0.8909090909090909,Manual,Rain,No,0.23076923076922995,0.6111111111110858,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,Medium
TAITA TAVETA,fmr_322,0.625,corn,0.0,0.10416666666666669,0.0,0.8909090909090909,Manual,Rain,No,0.2051282051282044,0.6111111111110858,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,Medium
TAITA TAVETA,fmr_390,0.625,corn,0.06666666666666667,0.16666666666666669,0.16666666666666669,0.8909090909090909,Manual,Rain,No,0.3589743589743577,0.30555555555555713,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,High
TAITA TAVETA,fmr_277,0.5,corn,0.06666666666666667,0.16666666666666669,0.16666666666666669,0.8181818181818181,Manual,Rain,No,0.6410256410256405,0.3888888888888715,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,High
TAITA TAVETA,fmr_11,0.5,corn,0.33333333333333337,0.0625,0.0,0.7272727272727273,Manual,Rain,No,0.5128205128205128,0.22222222222221433,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Medium
TAITA TAVETA,fmr_58,0.375,corn,0.4,0.0625,0.16666666666666669,0.7272727272727273,Manual,Rain,No,0.5641025641025639,0.30555555555555713,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Medium
TAITA TAVETA,fmr_132,0.125,corn,0.06666666666666667,0.0,0.16666666666666669,0.7272727272727273,Manual,Rain,No,0.3076923076923066,0.6111111111110858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,Low
TAITA TAVETA,fmr_140,0.0,corn,0.4,0.16666666666666669,0.3333333333333333,0.7272727272727273,Manual,Rain,No,0.38461538461538325,0.6111111111110858,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,High
TAITA TAVETA,fmr_182,0.5,corn,0.33333333333333337,0.010416666666666671,0.3333333333333333,0.7272727272727273,Manual,Rain,No,0.3333333333333339,0.6111111111110858,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,Low
TAITA TAVETA,fmr_226,0.375,corn,0.2,0.020833333333333336,0.16666666666666669,0.7272727272727273,Manual,Rain,No,0.3333333333333339,0.6111111111110858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,Low
TAITA TAVETA,fmr_275,0.375,corn,0.4,0.0625,0.0,0.7272727272727273,Manual,Rain,No,0.5897435897435894,0.27777777777777146,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,Medium
TAITA TAVETA,fmr_278,0.5,corn,0.4,0.16666666666666669,0.4166666666666667,0.7272727272727273,Manual,Rain,No,0.3333333333333339,0.6111111111110858,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,High
TAITA TAVETA,fmr_286,0.375,corn,0.06666666666666667,0.0,0.16666666666666669,0.7272727272727273,Manual,Rain,No,0.23076923076922995,0.6111111111110858,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,Low
TAITA TAVETA,fmr_295,0.625,corn,0.0,0.0,0.16666666666666669,0.7272727272727273,Manual,Rain,No,0.6410256410256405,0.3888888888888715,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,Low
TAITA TAVETA,fmr_296,0.625,corn,0.06666666666666667,0.27083333333333337,0.4166666666666667,0.7272727272727273,Manual,Rain,No,0.6410256410256405,0.3888888888888715,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,High
TAITA TAVETA,fmr_325,0.625,corn,0.2,0.0625,0.0,0.7272727272727273,Manual,Rain,No,0.23076923076922995,0.6111111111110858,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,Medium
TAITA TAVETA,fmr_377,0.5,corn,0.06666666666666667,0.010416666666666671,0.16666666666666669,0.7272727272727273,Manual,Rain,No,0.8717948717948723,0.055555555555542924,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Low
TAITA TAVETA,fmr_401,0.625,corn,0.2,0.08333333333333334,0.4166666666666667,0.7272727272727273,Manual,Rain,No,1.0,0.1666666666666572,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Medium
TAITA TAVETA,fmr_288,0.375,corn,0.33333333333333337,0.041666666666666664,0.0,0.7090909090909091,Manual,Rain,No,0.6923076923076916,0.1666666666666572,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,Low
TAITA TAVETA,fmr_133,0.125,corn,0.4,0.041666666666666664,0.3333333333333333,0.6363636363636364,Manual,Rain,No,0.5897435897435894,0.27777777777777146,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Low
TAITA TAVETA,fmr_378,0.5,corn,0.2,0.0625,0.16666666666666669,0.6363636363636364,Manual,Rain,No,0.8461538461538449,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Medium
TAITA TAVETA,fmr_12,0.5,corn,0.2,0.020833333333333336,0.3333333333333333,0.5636363636363636,Manual,Rain,No,0.43589743589743435,0.19444444444444287,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,Low
TAITA TAVETA,fmr_19,0.25,corn,0.06666666666666667,0.16666666666666669,0.0,0.5636363636363636,Manual,Rain,No,0.4102564102564088,0.22222222222221433,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,High
TAITA TAVETA,fmr_59,0.375,corn,0.0,0.041666666666666664,0.0,0.5636363636363636,Manual,Rain,No,0.7948717948717938,0.2499999999999858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Low
TAITA TAVETA,fmr_83,0.375,corn,0.06666666666666667,0.2708333333333333,0.0,0.5636363636363636,Manual,Rain,No,0.4615384615384617,0.1666666666666572,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,High
TAITA TAVETA,fmr_125,0.375,corn,0.06666666666666667,0.16666666666666669,0.3333333333333333,0.5636363636363636,Manual,Rain,No,0.6923076923076916,0.19444444444444287,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,High
TAITA TAVETA,fmr_134,0.125,corn,0.2,0.0,0.0,0.5636363636363636,Manual,Rain,No,0.5897435897435894,0.27777777777777146,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,Low
TAITA TAVETA,fmr_136,0.125,corn,0.2,0.0625,0.0,0.5636363636363636,Manual,Rain,No,0.7435897435897427,0.2499999999999858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Medium
TAITA TAVETA,fmr_137,0.5,corn,0.13333333333333336,0.16666666666666669,0.0,0.5636363636363636,Manual,Rain,No,0.7692307692307683,0.2499999999999858,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,High
TAITA TAVETA,fmr_152,0.0,corn,0.4,0.0625,0.3333333333333333,0.5636363636363636,Manual,Rain,No,0.3589743589743577,0.2499999999999858,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Medium
TAITA TAVETA,fmr_183,0.5,corn,0.06666666666666667,0.0,0.0,0.5636363636363636,Manual,Rain,No,0.5897435897435894,0.27777777777777146,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,Low
TAITA TAVETA,fmr_184,0.5,corn,0.33333333333333337,0.010416666666666671,0.0,0.5636363636363636,Manual,Rain,No,0.615384615384615,0.19444444444444287,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,Low
